"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed80";"f7";1000;10;0,00116797342410657;0,00259098611102713;0,00157724878018539;-0,0010964391957175;0,00304978382825763;-0,00577931160317601;0,000994549405112098;-0,0032031822430261;-0,00435545181182815;0,00348973382079;0,882679021226427;23,8619999999992
"elapsed81";"f7";1000;30;0,00168682975945184;-0,00235230800722716;-0,000927382072658926;-0,0028487832833924;-0,00517046190583096;-0,00295347446349137;-0,00349742110331729;0,00143596128317091;-0,0032380682592591;3,71365791145719e-05;0,661484665153895;55,2160000000003
"elapsed82";"f7";1000;50;-1,24634461290484e-05;4,41384831220905e-05;1,73820039264018e-05;-1,45924999958169e-05;-4,32668753747185e-06;5,49269850530206e-06;4,2318784406867e-06;2,38331409494607e-06;-9,24699694359372e-06;-1,39376590914399e-05;0,871799413114786;85,8439999999991
"elapsed83";"f7";1000;100;0,000181113880710774;-0,00163959418874127;-0,000391537172967098;0,00142616815775802;0,000939391058172103;0,000956663466175758;-0,00067366402646517;-0,00404462461679948;7,27684263945366e-05;-0,00212250096591298;0,0260886438761047;162,076999999999
"elapsed84";"f8";100;10;-6984,02985242119;-1067,38810113771;-13503,628291391;5,92784669825437;6,06819448359097;-128,495562816759;-126078,188023136;-71473,644151267;-101902,77638798;-37527,3434051917;-151705,176979378;2,27399999999943
"elapsed85";"f8";100;30;-94751,1178025872;-127604,157329676;7,57347672946959;-62318,9130406068;7,85263969259539;-155581,121121934;7,78498814743396;-11206,1357424523;7,77337853034916;-54000,9475141396;-337130,450178669;5,27400000000125
"elapsed86";"f8";100;50;-476747,781010494;-1265,99536526494;1,02304008391984;-68632,8799904103;-82688,5593101271;-636,103228438154;1,05823991686846;2,97696008070921;-673885,537150749;2,97696007992016;-996113,185561373;8,45700000000033
"elapsed87";"f8";100;100;5,50738382558504;4,48515678150039;-106321,280350356;5,25192368172673;-75774,4160457769;5,51821019793957;4,47543185366353;-32388,4448024753;-83517,0958839547;-97577,3804516936;-258623,287415978;15,8959999999988
"elapsed88";"f8";500;10;-39135066652731,6;1,41583813836768;-5994841457069,01;-12897920952517,2;-41658475055343;2,58383916236779;-1760553891835,73;2,6164791623678;-271889185655,762;-43254906746732,8;-97886319336347,5;11,5249999999996
"elapsed89";"f8";500;30;3,59997784144851;3,59997784144851;-1960241108353299456;-5237472923442806;-1990929567870567;-92486879040210288;4,39997075373797;-25827136155975,4;3,60002932818947;3,59997599661053;-1955264914313232896;26,4520000000011
"elapsed90";"f8";500;50;7,44139082723857;-1181481657356557824;-3964232149291518464;-451040712358871360;-1294462360865589;-1420156183801697;7,8728639411459;7,57167894716325;8,6076107632602;-229151250571429056;-4602243692367347712;42,2160000000003
"elapsed91";"f8";500;100;9,43248916080902;-4,90863249495513e+20;8,05958479585589;8,18451748813817;-1,68865397027618e+20;8,1447187879107;8,08261565752607;-65539337467669307392;-3,47162767022616e+20;-9,55335912739565e+21;-9,03735174461971e+21;80,4400000000005
"elapsed92";"f8";1000;10;4,5998758570053;4,59902737385932;4,44769300561868;5,46820666875692;5,22337433445467;-6,04732224081597e+25;4,93651266833791;-2,15364740897366e+25;4,75169259438133;4,45963063841989;-6,78907936383704e+25;22,719000000001
"elapsed93";"f8";1000;30;3,5020670968679;4,49801127871443;3,64993839038292;3,48990152769364;-2,97187430803763e+33;3,6973117023827;-1,08943283158404e+34;-6,02031516907262e+33;-1,72861766118245e+36;4,34998086114527;-1,72139859299027e+36;52,6119999999992
"elapsed94";"f8";1000;50;5,88165029124531;-3,04469710609891e+35;5,87845029766784;5,88167790634571;-3,70988753878304e+35;5,87834790664627;-2,2186182430224e+38;5,87832230651519;-1,13673179036848e+36;6,11834994730624;-2,12543063682812e+38;83,5439999999999
"elapsed95";"f8";1000;100;6,88409907514218;-1,73519823618237e+38;-3,41666293405857e+40;-1,66402652260628e+38;-7,2360392626749e+37;7,34246275817147;6,58882252921611;6,56049733740209;-6,11042570913519e+36;-1,29339539780492e+38;-3,34106360863275e+40;161,132
"elapsed96";"f9";100;10;2,2370496826314e-07;-5,36647802542162e-09;9,75364052979e-08;3,16271747229857e-08;-3,81189535317117e-08;2,9583930009373e-07;1,66462465786782e-07;-1,90322280284912e-07;-1,25747652721215e-09;-1,2326870451676e-07;4,537525910564e-11;2,36299999999937
"elapsed97";"f9";100;30;2,58376287783011e-07;-2,97773384160928e-09;1,98751656765591e-06;-1,82356198700305e-07;-4,9073837190087e-08;-6,42940607951827e-09;1,02546433552298e-07;1,79393692809165e-06;-2,4735377087618e-06;-3,413784341748e-09;2,65842459157284e-09;5,26199999999881
"elapsed98";"f9";100;50;-6,34584792597635e-06;5,00085525770108e-06;6,45209222193876e-07;4,08288189274799e-05;1,99052196596106e-05;-1,89109820779803e-05;-6,99087395801583e-06;-4,5650573487257e-05;1,68160132153466e-05;2,70386245304132e-05;1,11759079857165e-06;8,45000000000073
"elapsed99";"f9";100;100;-1,40845715864585e-08;-1,24581221820137e-08;-4,15554653700877e-07;1,94133230902547e-08;-2,87982425322555e-07;9,65010508251361e-07;1,78754836042545e-07;-7,5429843515878e-08;-7,96741191937986e-07;-6,33973709857755e-07;4,48750370196649e-10;15,8529999999992
